Row ,Facility,Latitude,Longitude,Total On site,Total Off site,Total On and off site disposal
 ,ETHYLENE GLYCOL, , ,0,.,0
 ,METHANOL, , ,"11,738.40",.,"11,738.40"
 ,N-METHYL-2-PYRROLIDONE, , ,0,.,0
 ,NAPHTHALENE, , ,0,.,0
 ,PHENOL, , ,0,.,0
 ,TOLUENE, , ,0.122,.,0.122
 ,XYLENE (MIXED ISOMERS), , ,0,.,0
78,"CMP ANODIZING.1530 LOUIS AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.014,-87.963,0,0.29,0.29
 ,LEAD COMPOUNDS, , ,0,0.29,0.29
79,"CMP ANODIZING.1340 HOWARD STREET, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.016,-87.967,0,0.78,0.78
 ,LEAD COMPOUNDS, , ,0,0.78,0.78
80,"COLOR COMMUNICATIONS INC.4242 W FILLMORE, CHICAGO ILLINOIS 60624 (COOK)",41.868,-87.731,"10,390.00",.,"10,390.00"
 ,CERTAIN GLYCOL ETHERS, , ,"5,710.00",.,"5,710.00"
 ,TOLUENE, , ,"4,280.00",.,"4,280.00"
 ,TOLUENE, , ,400,.,400
81,"COMMERCIAL FORGED PRODUCTS.5757 W 65TH STREET, BEDFORD PARK ILLINOIS 60638 (COOK)",41.773,-87.765,0,0,0
 ,CHROMIUM, , ,0,0,0
 ,LEAD, , ,0,0,0
 ,MANGANESE, , ,0,0,0
 ,NICKEL, , ,0,0,0
82,"CONTOUR SAWS INC.1217 E THACKER ST, DES PLAINES ILLINOIS 60016 (COOK)",42.038,-87.894,0,0,0
 ,CHROMIUM, , ,0,0,0
 ,COBALT, , ,0,0,0
 ,LEAD, , ,0,0,0
83,"COREY STEEL CO.2800 S 61ST. CT, CICERO ILLINOIS 60804 (COOK)",41.84,-87.777,0,0,0
 ,LEAD, , ,0,0,0
 ,MANGANESE, , ,0,0,0
 ,NICKEL, , ,0,0,0
84,"CRAFTSMAN PLATING & TINNING CORP.1239 W SCHOOL ST, CHICAGO ILLINOIS 60657 (COOK)",41.941,-87.66,156.8,"1,708.43","1,865.23"
 ,COPPER, , ,0,587,587
 ,CYANIDE COMPOUNDS, , ,110,194,304
 ,LEAD COMPOUNDS, , ,2.8,52.43,55.23
 ,ZINC COMPOUNDS, , ,44,875,919
85,"CREATION TCHNOLOGIES WHEELING.1475 S WHEELING RD, WHEELING ILLINOIS 60090 (COOK)",42.112,-87.927,0,0,0
 ,LEAD, , ,0,0,0
86,"CROWN CHEMICAL INC.4701 W 136TH ST, CRESTWOOD ILLINOIS 60445 (COOK)",41.645,-87.735,.,.,.
 ,CERTAIN GLYCOL ETHERS, , ,.,.,.
87,"DAUBERT CHEMICAL CO.4700 S CENTRAL AVE, CHICAGO ILLINOIS 60638 (COOK)",41.809,-87.764,"6,250.00",5,"6,255.00"
 ,"1,2,4-TRIMETHYLBENZENE", , ,255,.,255
 ,BARIUM COMPOUNDS, , ,5,.,5
 ,CERTAIN GLYCOL ETHERS, , ,10,.,10
 ,DICHLOROMETHANE, , ,10,.,10
 ,DIISOCYANATES, , ,255,.,255
 ,METHANOL, , ,290,.,290
 ,N-METHYL-2-PYRROLIDONE, , ,10,.,10
 ,TOLUENE, , ,"5,128.00",.,"5,128.00"
 ,XYLENE (MIXED ISOMERS), , ,282,.,282
 ,ZINC COMPOUNDS, , ,5,5,10
88,"DAUBERT CROMWELL LLC.12701 S RIDGEWAY AVE, ALSIP ILLINOIS 60803 (COOK)",41.662,-87.712,0,.,0
 ,SODIUM NITRITE, , ,0,.,0
89,"DELAVAL MANUFACTURING.1855 S MOUNT PROSPECT RD, DES PLAINES ILLINOIS 60018 (COOK)",42.018,-87.919,41,.,41
 ,NITRIC ACID, , ,41,.,41
90,"DELTA PRECISION CIRCUITS.1370 LIVELY BLVD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.006,-87.97,2.2,757.6,759.8
 ,COPPER COMPOUNDS, , ,2,756,758
 ,LEAD, , ,0.2,1.6,1.8
91,"DELTROL FLUID PRODUCTS.3001 GRANT AVE, BELLWOOD ILLINOIS 60104 (COOK)",41.889,-87.869,10,0,10
 ,COPPER, , ,10,0,10
92,"DESTACO INDUSTRIAL MOTION CONTROL LLC.1444 S WOLF RD, WHEELING ILLINOIS 60090 (COOK)",42.106,-87.911,0,0,0
 ,LEAD, , ,0,0,0
93,"DIESEL RADIATOR CO.1985 JANICE AVE, MELROSE PARK ILLINOIS 60160 (COOK)",41.91,-87.887,0.29,.,0.29
 ,COPPER, , ,0.29,.,0.29
 ,LEAD, , ,0,.,0
94,"DOBER CHEMICAL CORP.333 W 195TH ST, GLENWOOD ILLINOIS 60425 (COOK)",41.535,-87.626,183,.,183
 ,NITRATE COMPOUNDS, , ,48,.,48
 ,SODIUM NITRITE, , ,135,.,135
95,"DYNABURR CHICAGO INC.65 E LAKE ST, NORTHLAKE ILLINOIS 60164 (COOK)",41.901,-87.899,0,"92,005.00","92,005.00"
 ,ZINC COMPOUNDS, , ,0,"92,005.00","92,005.00"
96,"DYNAMIC MANUFACTURING INC.1801 N 32ND AVE, MELROSE PARK ILLINOIS 60160 (COOK)",41.906,-87.873,37,8,45
 ,COPPER, , ,37,8,45
97,"DYNAMIC MANUFACTURING INC.4211 W MADISON ST, HILLSIDE ILLINOIS 60162 (COOK)",41.878,-87.889,176,6,182
 ,COPPER, , ,156,3,159
 ,NICKEL, , ,20,3,23
98,"DYNAMIC MANUFACTURING INC.4300 W. MADISON, HILLSIDE ILLINOIS 60162 (COOK)",41.878,-87.891,162,4,166
 ,COPPER, , ,144,2,146
 ,NICKEL, , ,18,2,20
99,"DYNAMIC MANUFACTURING INC.4201 RAYMOND DR, HILLSIDE ILLINOIS 60162 (COOK)",41.876,-87.889,44,2,46
 ,COPPER, , ,39,1,40
 ,NICKEL, , ,5,1,6
100,"EAGLE ELECTRONICS INC.1735 MITCHELL BLVD, SCHAUMBURG ILLINOIS 60193 (COOK)",41.995,-88.091,0,10,10
 ,COPPER, , ,0,5,5
 ,COPPER COMPOUNDS, , ,0,5,5
 ,Total of Top 100 facilities, , ,"772,369.70","3,628,808.81","4,401,178.51"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
